Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68238120a54c37105f9b7942,63daf5a89c63648ec34664fb,AWAITING REVIEW,Not Applicable,2025-05-13T17:28:06.440000Z,2025-05-13T17:31:39.525000Z,,2025-05-13T17:31:40.069564Z,214.0,2B73928C,4401,37,Female,White,United States,United States,United States,English,No,Full-Time
68238145accebf1d83465ad3,67e24fb0c92973e0d4cb7835,AWAITING REVIEW,Not Applicable,2025-05-13T17:28:42.519000Z,2025-05-13T17:33:44.762000Z,,2025-05-13T17:33:45.354656Z,303.0,2B73928C,276,23,Female,White,United States,United States,DATA_EXPIRED,English,DATA_EXPIRED,Part-Time
6823814a051e077552351f7b,67f1aa262e5e1c69ddbd8295,AWAITING REVIEW,Not Applicable,2025-05-13T17:28:52.896000Z,2025-05-13T17:35:41.552000Z,,2025-05-13T17:35:42.264223Z,409.0,2B73928C,975,50,Female,White,United States,United States,United States,English,Yes,Full-Time
682381555af5fde03764f022,666e0063d5d987b48025fccb,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:00.027000Z,2025-05-13T17:33:27.148000Z,,2025-05-13T17:33:27.680624Z,268.0,2B73928C,132,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68238169232530b7ff2b3acf,66919e2f0a86d780d3c3e591,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:29.265000Z,2025-05-13T17:35:01.193000Z,,2025-05-13T17:35:01.749216Z,332.0,2B73928C,2320,65,Male,White,United States Minor Outlying Islands,United States,United States,English,No,Part-Time
6823816ba879c9165667942b,67f1f3652211291a2f130a2d,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:21.875000Z,2025-05-13T17:37:09.146000Z,,2025-05-13T17:37:10.560742Z,468.0,2B73928C,154,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
68238175652d9df4d53e7eff,65b40d86a6572ea6620e8c3d,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:29.817000Z,2025-05-13T17:32:47.875000Z,,2025-05-13T17:32:48.438448Z,199.0,2B73928C,1113,19,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
682381764082ab95b80c873d,5a4b58ed56ec1100014a3ee4,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:30.286000Z,2025-05-13T17:31:04.014000Z,,2025-05-13T17:31:04.621084Z,94.0,2B73928C,3762,40,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68238177c6ae00544379bb38,62c5fbbb796500bb5406d772,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:31.563000Z,2025-05-13T17:31:02.736000Z,,2025-05-13T17:31:03.427246Z,92.0,2B73928C,4645,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6823818cd061dc348cd3b52b,5fdfb7d6e1442280fc095a66,AWAITING REVIEW,Not Applicable,2025-05-13T17:29:52.128000Z,2025-05-13T17:37:58.884000Z,,2025-05-13T17:37:59.455096Z,487.0,2B73928C,13909,33,Male,White,United States,United States,United States,English,No,Full-Time
682381971e3d95a47f87f6d5,5c636bc3302b1e0001e69dce,AWAITING REVIEW,Not Applicable,2025-05-13T17:30:03.669000Z,2025-05-13T17:34:56.803000Z,,2025-05-13T17:34:57.329247Z,294.0,2B73928C,1286,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
682381a9bc737bbe720c874a,663a7af013938e6bbfb065d5,AWAITING REVIEW,Not Applicable,2025-05-13T17:31:58.140000Z,2025-05-13T17:36:32.097000Z,,2025-05-13T17:36:32.689247Z,274.0,2B73928C,2139,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
682381caae3769a9aa742506,67e95b4ce056cb97ac8a5c21,AWAITING REVIEW,Not Applicable,2025-05-13T17:31:05.152000Z,2025-05-13T17:33:39.820000Z,,2025-05-13T17:33:40.374615Z,155.0,2B73928C,158,29,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
682381dcc10b05b1962f200d,677ac5abfeff92f43b1755ba,AWAITING REVIEW,Not Applicable,2025-05-13T17:31:12.244000Z,2025-05-13T17:32:14.676000Z,,2025-05-13T17:32:15.226636Z,63.0,2B73928C,80,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
