Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681befc962b132de62662ada,680dcb74ab0a3a21ef2d6d89,AWAITING REVIEW,Not Applicable,2025-05-07T23:42:09Z,2025-05-07T23:47:29Z,NA,2025-05-07T23:47:29Z,320,2B73928C,196,70,Male,White,United States,United States,United States,English,No,Full-Time
681befe402d53abeb8ca3f8f,67ed61848c7659044358adf0,AWAITING REVIEW,Not Applicable,2025-05-07T23:42:35Z,2025-05-07T23:47:51Z,NA,2025-05-07T23:47:52Z,317,2B73928C,198,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf005faead7efa6d41ace,67f24dddcc783cdf7a1ea017,AWAITING REVIEW,Not Applicable,2025-05-07T23:43:01Z,2025-05-07T23:48:44Z,NA,2025-05-07T23:48:45Z,344,2B73928C,346,24,Male,Black,United States,United States,United States,English,Yes,Full-Time
681bf0142dc2397293cf7dd5,67d89acf081049fa0e311adc,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:29Z,2025-05-07T23:51:38Z,NA,2025-05-07T23:51:39Z,310,2B73928C,138,38,Male,White,United States,United States,United States,English,No,Full-Time
681bf0349c87efb31264e98a,67c35bed28161edad1829850,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:10Z,2025-05-07T23:52:44Z,NA,2025-05-07T23:52:45Z,514,2B73928C,454,66,Male,White,United States,United States,United States,English,No,Full-Time
681bf0405097312a725a2f29,65dfbf73ec3a047b5653add8,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:09Z,2025-05-07T23:46:33Z,NA,2025-05-07T23:46:34Z,145,2B73928C,2207,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf049051cda621f3bc3fa,67d87fa5f2beefdc110fb4b2,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:24Z,2025-05-07T23:48:48Z,NA,2025-05-07T23:48:48Z,264,2B73928C,250,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf04d9acc98b792dc7fad,6113baed20301957a13e9752,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:21Z,2025-05-07T23:49:12Z,NA,2025-05-07T23:49:12Z,292,2B73928C,1189,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
681bf0645cb48d541a0bb7f2,63ea751b7686e752f5ef78b2,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:40Z,2025-05-07T23:47:38Z,NA,2025-05-07T23:47:39Z,178,2B73928C,5704,67,Male,White,United States,United States,United States,English,No,Full-Time
681bf064d10e20a621529b08,67eb91c75bdf0be76c9a7f7c,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:36Z,2025-05-07T23:50:08Z,NA,2025-05-07T23:50:08Z,333,2B73928C,156,36,Female,White,United States,United States,United States,English,No,Part-Time
681bf0703b97a5001524b2cb,58d0632c2fc72000011f8c57,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:52Z,2025-05-07T23:51:32Z,NA,2025-05-07T23:51:32Z,400,2B73928C,5416,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681bf08038ad2dd910c931c8,5b57894babd7a000014845b8,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:09Z,2025-05-07T23:51:28Z,NA,2025-05-07T23:51:29Z,379,2B73928C,1573,36,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf088becc74284d32431f,65c0ed76e2e195876cfd9b74,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:15Z,2025-05-07T23:48:21Z,NA,2025-05-07T23:48:22Z,186,2B73928C,3734,55,Male,White,United States,United States,United States,English,No,Full-Time
